tier,key,kind,rank,english,greek,russian,icon_subject,icon_subject_greek,search_suggestion,note,filename
2,01-18,fixed,3,Ss. Athanasius and Cyril of Alexandria,,,,,Ss. Athanasius and Cyril of Alexandria,Major commemoration,01-18.jpg
2,01-20,fixed,3,St. Euthymius the Great,,,,,St. Euthymius the Great,Major commemoration,01-20.jpg
2,01-25,fixed,3,St. Gregory the Theologian,Γρηγορίου τοῦ Θεολόγου,Свт. Григория Богослова,,,St. Gregory the Theologian,Major commemoration,01-25.jpg
2,01-30,fixed,3,The Three Hierarchs,Τῶν Τριῶν Ἱεραρχῶν,Собор трёх святителей,,,The Three Hierarchs,Major commemoration,01-30.jpg
2,02-06,fixed,3,"St. Photios the Great, Patriarch of Constantinople",,,,,"St. Photios the Great, Patriarch of Constantinople",Major commemoration,02-06.jpg
2,02-10,fixed,3,Hieromartyr Charalampus,Ἁγίου Χαραλάμπους,,,,Hieromartyr Charalampus,Major commemoration,02-10.jpg
2,02-17,fixed,3,Great Martyr Theodore the Recruit,,,,,Great Martyr Theodore the Recruit,Major commemoration,02-17.jpg
2,02-24,fixed,3,First and Second Finding of the Head of the Forerunner,,,,,First and Second Finding of the Head of the Forerunner,Major commemoration,02-24.jpg
2,03-09,fixed,3,The Forty Martyrs of Sebaste,Τῶν Ἁγίων Τεσσαράκοντα Μαρτύρων,40 мучеников Севастийских,,,The Forty Martyrs of Sebaste,Major commemoration,03-09.jpg
2,03-30,fixed,3,St. John Climacus,,,,,St. John Climacus,Major commemoration,03-30.jpg
2,04-01,fixed,3,St. Mary of Egypt,,,,,St. Mary of Egypt,Major commemoration,04-01.jpg
2,04-23,fixed,3,Great Martyr George the Trophy-Bearer,Ἁγίου Γεωργίου τοῦ Τροπαιοφόρου,Вмч. Георгия Победоносца,,,Great Martyr George the Trophy-Bearer,Major commemoration,04-23.jpg
2,04-25,fixed,3,Apostle and Evangelist Mark,,,,,Apostle and Evangelist Mark,Major commemoration,04-25.jpg
2,05-08,fixed,3,Apostle and Evangelist John the Theologian,Ἰωάννου τοῦ Θεολόγου,Апостола Иоанна Богослова,,,Apostle and Evangelist John the Theologian,Major commemoration,05-08.jpg
2,05-11,fixed,3,"Ss. Cyril and Methodius, Equals to the Apostles",Κυρίλλου καὶ Μεθοδίου,Равноапп. Кирилла и Мефодия,,,"Ss. Cyril and Methodius, Equals to the Apostles",Major commemoration,05-11.jpg
2,05-21,fixed,3,"Ss. Constantine and Helen, Equals to the Apostles",Κωνσταντίνου καὶ Ἑλένης,Равноапп. Константина и Елены,,,"Ss. Constantine and Helen, Equals to the Apostles",Major commemoration,05-21.jpg
2,06-24,fixed,3,The Nativity of St. John the Forerunner,Τὸ Γενέθλιον τοῦ Προδρόμου,Рождество Иоанна Предтечи,,,The Nativity of St. John the Forerunner,Major commemoration,06-24.jpg
2,06-29,fixed,3,"Ss. Peter and Paul, the Chief Apostles",Πέτρου καὶ Παύλου,Первоверховных апп. Петра и Павла,,,"Ss. Peter and Paul, the Chief Apostles",Major commemoration,06-29.jpg
2,06-30,fixed,3,Synaxis of the Twelve Apostles,Σύναξις τῶν Δώδεκα Ἀποστόλων,Собор двенадцати апостолов,,,Synaxis of the Twelve Apostles,Major commemoration,06-30.jpg
2,07-11,fixed,3,Great Martyr Euphemia · St. Olga,,,,,Great Martyr Euphemia · St. Olga,Major commemoration,07-11.jpg
2,07-12,fixed,3,St. Paisios of Mount Athos · Martyrs Proclus and Hilary,Ἁγίου Παϊσίου,,,,St. Paisios of Mount Athos · Martyrs Proclus and Hilary,Major commemoration,07-12.jpg
2,07-17,fixed,3,Great Martyr Marina,Ἁγίας Μαρίνης,,,,Great Martyr Marina,Major commemoration,07-17.jpg
2,07-20,fixed,3,The Prophet Elias,Προφήτου Ἠλιοὺ τοῦ Θεσβίτου,Пророка Илии,,,The Prophet Elias,Major commemoration,07-20.jpg
2,07-22,fixed,3,"St. Mary Magdalene, Equal to the Apostles",Ἁγίας Μαρίας τῆς Μαγδαληνῆς,Равноап. Марии Магдалины,,,"St. Mary Magdalene, Equal to the Apostles",Major commemoration,07-22.jpg
2,07-25,fixed,3,The Dormition of St. Anna,Κοίμησις Ἁγίας Ἄννης,,,,The Dormition of St. Anna,Major commemoration,07-25.jpg
2,07-26,fixed,3,St. Paraskevi the Righteous Martyr,Ἁγίας Παρασκευῆς,,,,St. Paraskevi the Righteous Martyr,Major commemoration,07-26.jpg
2,07-27,fixed,3,Great Martyr and Healer Panteleimon,Ἁγίου Παντελεήμονος,Вмч. и целителя Пантелеимона,,,Great Martyr and Healer Panteleimon,Major commemoration,07-27.jpg
2,08-29,fixed,3,The Beheading of St. John the Forerunner,Ἡ Ἀποτομὴ τοῦ Προδρόμου,Усекновение главы Иоанна Предтечи,,,The Beheading of St. John the Forerunner,Major commemoration,08-29.jpg
2,09-26,fixed,3,The Repose of St. John the Theologian,Ἡ Μετάστασις Ἰωάννου τοῦ Θεολόγου,Преставление ап. Иоанна Богослова,,,The Repose of St. John the Theologian,Major commemoration,09-26.jpg
2,10-03,fixed,3,Hieromartyr Dionysius the Areopagite,,,,,Hieromartyr Dionysius the Areopagite,Major commemoration,10-03.jpg
2,10-06,fixed,3,Apostle Thomas,,,,,Apostle Thomas,Major commemoration,10-06.jpg
2,10-18,fixed,3,Apostle and Evangelist Luke,Λουκᾶ τοῦ Εὐαγγελιστοῦ,Апостола и евангелиста Луки,,,Apostle and Evangelist Luke,Major commemoration,10-18.jpg
2,10-20,fixed,3,Great Martyr Artemius · St. Gerasimos of Kephalonia,,,,,Great Martyr Artemius · St. Gerasimos of Kephalonia,Major commemoration,10-20.jpg
2,10-23,fixed,3,"Apostle James, the Brother of the Lord",,,,,"Apostle James, the Brother of the Lord",Major commemoration,10-23.jpg
2,10-26,fixed,3,St. Demetrios the Myrrh-Streamer,Ἁγίου Δημητρίου τοῦ Μυροβλύτου,Вмч. Димитрия Солунского,,,St. Demetrios the Myrrh-Streamer,Major commemoration,10-26.jpg
2,10-28,fixed,3,The Holy Protection of the Theotokos,Ἡ Ἁγία Σκέπη τῆς Θεοτόκου,Покров Пресвятой Богородицы,,,The Holy Protection of the Theotokos,Major commemoration,10-28.jpg
2,11-08,fixed,3,Synaxis of the Archangels Michael and Gabriel,Σύναξις τῶν Ἀρχαγγέλων,Собор Архистратига Михаила,,,Synaxis of the Archangels Michael and Gabriel,Major commemoration,11-08.jpg
2,11-09,fixed,3,St. Nectarios of Aegina,Ἁγίου Νεκταρίου Αἰγίνης,Свт. Нектария Эгинского,,,St. Nectarios of Aegina,Major commemoration,11-09.jpg
2,11-13,fixed,3,St. John Chrysostom,Ἰωάννου τοῦ Χρυσοστόμου,Свт. Иоанна Златоуста,,,St. John Chrysostom,Major commemoration,11-13.jpg
2,11-16,fixed,3,Apostle and Evangelist Matthew,Ματθαίου τοῦ Εὐαγγελιστοῦ,Апостола и евангелиста Матфея,,,Apostle and Evangelist Matthew,Major commemoration,11-16.jpg
2,11-25,fixed,3,Great Martyr Catherine · Great Martyr Mercurius,Ἁγίας Αἰκατερίνης,Вмц. Екатерины,,,Great Martyr Catherine · Great Martyr Mercurius,Major commemoration,11-25.jpg
2,11-30,fixed,3,Apostle Andrew the First-Called,Ἀνδρέου τοῦ Πρωτοκλήτου,Апостола Андрея Первозванного,,,Apostle Andrew the First-Called,Major commemoration,11-30.jpg
2,12-02,fixed,3,St. Porphyrios of Kafsokalyvia · Prophet Habakkuk,Ἁγίου Πορφυρίου,,,,St. Porphyrios of Kafsokalyvia · Prophet Habakkuk,Major commemoration,12-02.jpg
2,12-04,fixed,3,Great Martyr Barbara · St. John of Damascus,Ἁγίας Βαρβάρας,Вмц. Варвары,,,Great Martyr Barbara · St. John of Damascus,Major commemoration,12-04.jpg
2,12-05,fixed,3,St. Savvas the Sanctified,Ἁγίου Σάββα τοῦ Ἡγιασμένου,Прп. Саввы Освященного,,,St. Savvas the Sanctified,Major commemoration,12-05.jpg
2,12-06,fixed,3,St. Nicholas of Myra,Ἁγίου Νικολάου Μύρων,Свт. Николая Чудотворца,,,St. Nicholas of Myra,Major commemoration,12-06.jpg
2,12-12,fixed,3,St. Spyridon of Trimythous,Ἁγίου Σπυρίδωνος,Свт. Спиридона Тримифунтского,,,St. Spyridon of Trimythous,Major commemoration,12-12.jpg
2,12-24,fixed,3,Eve of the Nativity · Martyr Eugenia,,,,,Eve of the Nativity · Martyr Eugenia,Major commemoration,12-24.jpg
2,12-26,fixed,3,Synaxis of the Theotokos,Ἡ Σύναξις τῆς Θεοτόκου,Собор Пресвятой Богородицы,,,Synaxis of the Theotokos,Major commemoration,12-26.jpg
2,12-27,fixed,3,St. Stephen the Protomartyr,Στεφάνου τοῦ Πρωτομάρτυρος,Первомч. архидиакона Стефана,,,St. Stephen the Protomartyr,Major commemoration,12-27.jpg
2,P+001,movable,3,Bright Monday,,Светлый Понедельник,,,Bright Monday,Major commemoration,Pp001.jpg
2,P+002,movable,3,Bright Tuesday,,Светлый Вторник,,,Bright Tuesday,Major commemoration,Pp002.jpg
2,P+003,movable,3,Bright Wednesday,,Светлая Среда,,,Bright Wednesday,Major commemoration,Pp003.jpg
2,P+004,movable,3,Bright Thursday,,Светлый Четверг,,,Bright Thursday,Major commemoration,Pp004.jpg
2,P+005,movable,3,Bright Friday · the Life-Giving Spring,Ζωοδόχου Πηγῆς,Светлая Пятница · Живоносного Источника,,,Bright Friday · the Life-Giving Spring,Major commemoration,Pp005.jpg
2,P+006,movable,3,Bright Saturday,,Светлая Суббота,,,Bright Saturday,Major commemoration,Pp006.jpg
2,P+007,movable,3,Thomas Sunday (Antipascha),Τοῦ Θωμᾶ,Антипасха · Фомина неделя,,,Thomas Sunday (Antipascha),Major commemoration,Pp007.jpg
2,P+050,movable,3,Monday of the Holy Spirit,Ἁγίου Πνεύματος,День Святаго Духа,,,Monday of the Holy Spirit,Major commemoration,Pp050.jpg
2,P+056,movable,3,Sunday of All Saints,Τῶν Ἁγίων Πάντων,Неделя всех святых,,,Sunday of All Saints,Major commemoration,Pp056.jpg
2,P-003,movable,3,Great and Holy Thursday,,Великий Четверг,,,Great and Holy Thursday,Major commemoration,Pm003.jpg
2,P-004,movable,3,Great and Holy Wednesday,,Великая Среда,,,Great and Holy Wednesday,Major commemoration,Pm004.jpg
2,P-005,movable,3,Great and Holy Tuesday,,Великий Вторник,,,Great and Holy Tuesday,Major commemoration,Pm005.jpg
2,P-006,movable,3,Great and Holy Monday,,Великий Понедельник,,,Great and Holy Monday,Major commemoration,Pm006.jpg
2,P-008,movable,3,Lazarus Saturday,Σάββατον τοῦ Λαζάρου,Лазарева суббота,,,Lazarus Saturday,Major commemoration,Pm008.jpg
2,P-016,movable,3,The Akathist Hymn,Ἀκάθιστος Ὕμνος,Похвала Пресвятой Богородицы · Акафист,,,The Akathist Hymn,Major commemoration,Pm016.jpg
2,P-028,movable,3,Sunday of the Veneration of the Cross,Σταυροπροσκυνήσεως,Крестопоклонная неделя,,,Sunday of the Veneration of the Cross,Major commemoration,Pm028.jpg
2,P-042,movable,3,Sunday of Orthodoxy,Κυριακὴ τῆς Ὀρθοδοξίας,Торжество Православия,,,Sunday of Orthodoxy,Major commemoration,Pm042.jpg
2,P-048,movable,3,Clean Monday,Καθαρὰ Δευτέρα,Чистый понедельник,,,Clean Monday,Major commemoration,Pm048.jpg
3,01-02,fixed,4,St. Seraphim of Sarov · St. Sylvester of Rome,,,,,St. Seraphim of Sarov · St. Sylvester of Rome,Notable commemoration,01-02.jpg
3,01-03,fixed,4,Prophet Malachi · Martyr Gordius,,,,,Prophet Malachi · Martyr Gordius,Notable commemoration,01-03.jpg
3,01-04,fixed,4,Synaxis of the Seventy Apostles,,,,,Synaxis of the Seventy Apostles,Notable commemoration,01-04.jpg
3,01-05,fixed,4,Eve of Theophany · Martyrs Theopemptus and Theonas,,,,,Eve of Theophany · Martyrs Theopemptus and Theonas,Notable commemoration,01-05.jpg
3,01-08,fixed,4,St. George the Chozebite · St. Domnica,,,,,St. George the Chozebite · St. Domnica,Notable commemoration,01-08.jpg
3,01-09,fixed,4,Martyr Polyeuctus,,,,,Martyr Polyeuctus,Notable commemoration,01-09.jpg
3,01-10,fixed,4,St. Gregory of Nyssa · St. Dometian,,,,,St. Gregory of Nyssa · St. Dometian,Notable commemoration,01-10.jpg
3,01-11,fixed,4,St. Theodosius the Cenobiarch,,,,,St. Theodosius the Cenobiarch,Notable commemoration,01-11.jpg
3,01-12,fixed,4,Martyr Tatiana,,,,,Martyr Tatiana,Notable commemoration,01-12.jpg
3,01-13,fixed,4,Martyrs Hermylus and Stratonicus,,,,,Martyrs Hermylus and Stratonicus,Notable commemoration,01-13.jpg
3,01-14,fixed,4,The Fathers slain at Sinai and Raithu,,,,,The Fathers slain at Sinai and Raithu,Notable commemoration,01-14.jpg
3,01-15,fixed,4,St. Paul of Thebes · St. John Kalyvites,,,,,St. Paul of Thebes · St. John Kalyvites,Notable commemoration,01-15.jpg
3,01-16,fixed,4,Veneration of the Chains of the Apostle Peter,,,,,Veneration of the Chains of the Apostle Peter,Notable commemoration,01-16.jpg
3,01-19,fixed,4,St. Macarius the Great,,,,,St. Macarius the Great,Notable commemoration,01-19.jpg
3,01-21,fixed,4,St. Maximus the Confessor,,,,,St. Maximus the Confessor,Notable commemoration,01-21.jpg
3,01-22,fixed,4,Apostle Timothy,,,,,Apostle Timothy,Notable commemoration,01-22.jpg
3,01-23,fixed,4,Hieromartyr Clement of Ancyra,,,,,Hieromartyr Clement of Ancyra,Notable commemoration,01-23.jpg
3,01-24,fixed,4,St. Xenia of Rome,,,,,St. Xenia of Rome,Notable commemoration,01-24.jpg
3,01-26,fixed,4,St. Xenophon and his companions,,,,,St. Xenophon and his companions,Notable commemoration,01-26.jpg
3,01-27,fixed,4,Translation of the relics of St. John Chrysostom,,,,,Translation of the relics of St. John Chrysostom,Notable commemoration,01-27.jpg
3,01-28,fixed,4,St. Ephraim the Syrian,,,,,St. Ephraim the Syrian,Notable commemoration,01-28.jpg
3,01-29,fixed,4,Translation of the relics of Hieromartyr Ignatius,,,,,Translation of the relics of Hieromartyr Ignatius,Notable commemoration,01-29.jpg
3,01-31,fixed,4,Ss. Cyrus and John the Unmercenaries,,,,,Ss. Cyrus and John the Unmercenaries,Notable commemoration,01-31.jpg
3,02-01,fixed,4,Forefeast of the Meeting · Martyr Tryphon,,,,,Forefeast of the Meeting · Martyr Tryphon,Notable commemoration,02-01.jpg
3,02-03,fixed,4,St. Symeon the God-Receiver and Anna the Prophetess,,,,,St. Symeon the God-Receiver and Anna the Prophetess,Notable commemoration,02-03.jpg
3,02-04,fixed,4,St. Isidore of Pelusium,,,,,St. Isidore of Pelusium,Notable commemoration,02-04.jpg
3,02-05,fixed,4,Martyr Agatha,,,,,Martyr Agatha,Notable commemoration,02-05.jpg
3,02-07,fixed,4,St. Parthenius of Lampsacus · St. Luke of Steiris,,,,,St. Parthenius of Lampsacus · St. Luke of Steiris,Notable commemoration,02-07.jpg
3,02-08,fixed,4,Great Martyr Theodore the Commander,,,,,Great Martyr Theodore the Commander,Notable commemoration,02-08.jpg
3,02-09,fixed,4,Leavetaking of the Meeting · Martyr Nicephorus,,,,,Leavetaking of the Meeting · Martyr Nicephorus,Notable commemoration,02-09.jpg
3,02-11,fixed,4,Hieromartyr Blaise of Sebaste,,,,,Hieromartyr Blaise of Sebaste,Notable commemoration,02-11.jpg
3,02-12,fixed,4,St. Meletius of Antioch,,,,,St. Meletius of Antioch,Notable commemoration,02-12.jpg
3,02-13,fixed,4,St. Martinian,,,,,St. Martinian,Notable commemoration,02-13.jpg
3,02-14,fixed,4,"St. Auxentius · St. Cyril, Equal to the Apostles",,,,,"St. Auxentius · St. Cyril, Equal to the Apostles",Notable commemoration,02-14.jpg
3,02-15,fixed,4,Apostle Onesimus,,,,,Apostle Onesimus,Notable commemoration,02-15.jpg
3,02-16,fixed,4,Martyrs Pamphilus and Porphyrius,,,,,Martyrs Pamphilus and Porphyrius,Notable commemoration,02-16.jpg
3,02-18,fixed,4,"St. Leo the Great, Pope of Rome",,,,,"St. Leo the Great, Pope of Rome",Notable commemoration,02-18.jpg
3,02-19,fixed,4,Apostle Archippus,,,,,Apostle Archippus,Notable commemoration,02-19.jpg
3,02-20,fixed,4,"St. Leo, Bishop of Catania",,,,,"St. Leo, Bishop of Catania",Notable commemoration,02-20.jpg
3,02-21,fixed,4,St. Timothy of Symbola,,,,,St. Timothy of Symbola,Notable commemoration,02-21.jpg
3,02-22,fixed,4,Finding of the relics of the Martyrs at Eugenios,,,,,Finding of the relics of the Martyrs at Eugenios,Notable commemoration,02-22.jpg
3,02-23,fixed,4,Hieromartyr Polycarp of Smyrna,,,,,Hieromartyr Polycarp of Smyrna,Notable commemoration,02-23.jpg
3,02-25,fixed,4,"St. Tarasius, Patriarch of Constantinople",,,,,"St. Tarasius, Patriarch of Constantinople",Notable commemoration,02-25.jpg
3,02-26,fixed,4,St. Porphyrius of Gaza,,,,,St. Porphyrius of Gaza,Notable commemoration,02-26.jpg
3,02-27,fixed,4,St. Procopius the Confessor,,,,,St. Procopius the Confessor,Notable commemoration,02-27.jpg
3,02-28,fixed,4,St. Basil the Confessor,,,,,St. Basil the Confessor,Notable commemoration,02-28.jpg
3,02-29,fixed,4,St. John Cassian the Roman,,,,,St. John Cassian the Roman,Notable commemoration,02-29.jpg
3,03-01,fixed,4,Martyr Eudocia,,,,,Martyr Eudocia,Notable commemoration,03-01.jpg
3,03-02,fixed,4,Hieromartyr Theodotus of Cyrenia,,,,,Hieromartyr Theodotus of Cyrenia,Notable commemoration,03-02.jpg
3,03-03,fixed,4,"Martyrs Eutropius, Cleonicus and Basiliscus",,,,,"Martyrs Eutropius, Cleonicus and Basiliscus",Notable commemoration,03-03.jpg
3,03-04,fixed,4,St. Gerasimus of the Jordan,,,,,St. Gerasimus of the Jordan,Notable commemoration,03-04.jpg
3,03-05,fixed,4,Martyr Conon,,,,,Martyr Conon,Notable commemoration,03-05.jpg
3,03-06,fixed,4,The Forty-two Martyrs of Amorion,,,,,The Forty-two Martyrs of Amorion,Notable commemoration,03-06.jpg
3,03-07,fixed,4,The Hieromartyrs of Cherson,,,,,The Hieromartyrs of Cherson,Notable commemoration,03-07.jpg
3,03-08,fixed,4,St. Theophylact of Nicomedia,,,,,St. Theophylact of Nicomedia,Notable commemoration,03-08.jpg
3,03-10,fixed,4,Martyr Codratus,,,,,Martyr Codratus,Notable commemoration,03-10.jpg
3,03-11,fixed,4,St. Sophronius of Jerusalem,,,,,St. Sophronius of Jerusalem,Notable commemoration,03-11.jpg
3,03-12,fixed,4,St. Theophanes the Confessor,,,,,St. Theophanes the Confessor,Notable commemoration,03-12.jpg
3,03-13,fixed,4,Translation of the relics of St. Nicephorus,,,,,Translation of the relics of St. Nicephorus,Notable commemoration,03-13.jpg
3,03-14,fixed,4,St. Benedict of Nursia,,,,,St. Benedict of Nursia,Notable commemoration,03-14.jpg
3,03-15,fixed,4,Martyr Agapius and his companions,,,,,Martyr Agapius and his companions,Notable commemoration,03-15.jpg
3,03-16,fixed,4,Martyr Sabinus,,,,,Martyr Sabinus,Notable commemoration,03-16.jpg
3,03-17,fixed,4,St. Alexis the Man of God,,,,,St. Alexis the Man of God,Notable commemoration,03-17.jpg
3,03-18,fixed,4,St. Cyril of Jerusalem,,,,,St. Cyril of Jerusalem,Notable commemoration,03-18.jpg
3,03-19,fixed,4,Martyrs Chrysanthus and Daria,,,,,Martyrs Chrysanthus and Daria,Notable commemoration,03-19.jpg
3,03-20,fixed,4,The Fathers slain at the Monastery of St. Sabbas,,,,,The Fathers slain at the Monastery of St. Sabbas,Notable commemoration,03-20.jpg
3,03-21,fixed,4,St. James the Confessor,,,,,St. James the Confessor,Notable commemoration,03-21.jpg
3,03-22,fixed,4,Hieromartyr Basil of Ancyra,,,,,Hieromartyr Basil of Ancyra,Notable commemoration,03-22.jpg
3,03-23,fixed,4,Martyr Nicon and his disciples,,,,,Martyr Nicon and his disciples,Notable commemoration,03-23.jpg
3,03-24,fixed,4,Forefeast of the Annunciation,,,,,Forefeast of the Annunciation,Notable commemoration,03-24.jpg
3,03-26,fixed,4,Synaxis of the Archangel Gabriel,,,,,Synaxis of the Archangel Gabriel,Notable commemoration,03-26.jpg
3,03-27,fixed,4,Martyr Matrona of Thessalonica,,,,,Martyr Matrona of Thessalonica,Notable commemoration,03-27.jpg
3,03-28,fixed,4,St. Hilarion the New,,,,,St. Hilarion the New,Notable commemoration,03-28.jpg
3,03-29,fixed,4,St. Mark of Arethusa,,,,,St. Mark of Arethusa,Notable commemoration,03-29.jpg
3,03-31,fixed,4,St. Hypatius of Gangra,,,,,St. Hypatius of Gangra,Notable commemoration,03-31.jpg
3,04-02,fixed,4,St. Titus the Wonderworker,,,,,St. Titus the Wonderworker,Notable commemoration,04-02.jpg
3,04-03,fixed,4,St. Nicetas the Confessor,,,,,St. Nicetas the Confessor,Notable commemoration,04-03.jpg
3,04-04,fixed,4,St. George of Maleon · St. Joseph the Hymnographer,,,,,St. George of Maleon · St. Joseph the Hymnographer,Notable commemoration,04-04.jpg
3,04-05,fixed,4,"Martyrs Claudius, Diodore and companions",,,,,"Martyrs Claudius, Diodore and companions",Notable commemoration,04-05.jpg
3,04-06,fixed,4,St. Eutychius of Constantinople,,,,,St. Eutychius of Constantinople,Notable commemoration,04-06.jpg
3,04-07,fixed,4,St. George of Mytilene,,,,,St. George of Mytilene,Notable commemoration,04-07.jpg
3,04-08,fixed,4,"Apostles Herodion, Agabus and Rufus",,,,,"Apostles Herodion, Agabus and Rufus",Notable commemoration,04-08.jpg
3,04-09,fixed,4,Martyr Eupsychius,,,,,Martyr Eupsychius,Notable commemoration,04-09.jpg
3,04-10,fixed,4,Martyr Terence and his companions,,,,,Martyr Terence and his companions,Notable commemoration,04-10.jpg
3,04-11,fixed,4,Hieromartyr Antipas of Pergamum,,,,,Hieromartyr Antipas of Pergamum,Notable commemoration,04-11.jpg
3,04-12,fixed,4,St. Basil of Parium,,,,,St. Basil of Parium,Notable commemoration,04-12.jpg
3,04-13,fixed,4,Hieromartyr Artemon,,,,,Hieromartyr Artemon,Notable commemoration,04-13.jpg
3,04-14,fixed,4,"St. Martin the Confessor, Pope of Rome",,,,,"St. Martin the Confessor, Pope of Rome",Notable commemoration,04-14.jpg
3,04-15,fixed,4,Apostle Aristarchus,,,,,Apostle Aristarchus,Notable commemoration,04-15.jpg
3,04-16,fixed,4,"Martyrs Agape, Irene and Chionia",,,,,"Martyrs Agape, Irene and Chionia",Notable commemoration,04-16.jpg
3,04-17,fixed,4,Hieromartyr Symeon of Persia,,,,,Hieromartyr Symeon of Persia,Notable commemoration,04-17.jpg
3,04-18,fixed,4,"St. John, disciple of St. Gregory of Decapolis",,,,,"St. John, disciple of St. Gregory of Decapolis",Notable commemoration,04-18.jpg
3,04-19,fixed,4,St. Paphnutius the Hieromartyr,,,,,St. Paphnutius the Hieromartyr,Notable commemoration,04-19.jpg
3,04-20,fixed,4,St. Theodore Trichinas,,,,,St. Theodore Trichinas,Notable commemoration,04-20.jpg
3,04-21,fixed,4,Hieromartyr Januarius,,,,,Hieromartyr Januarius,Notable commemoration,04-21.jpg
3,04-22,fixed,4,St. Theodore the Sykeote,,,,,St. Theodore the Sykeote,Notable commemoration,04-22.jpg
3,04-24,fixed,4,St. Elizabeth the Wonderworker,,,,,St. Elizabeth the Wonderworker,Notable commemoration,04-24.jpg
